[29-May-2008 18:41:45] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 18:41:45] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 18:48:22] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 18:48:26] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 18:48:33] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 18:48:37] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 18:48:49] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 18:56:59] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 18:57:02] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 18:57:12] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 18:57:25] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 18:57:25] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 18:57:29] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 18:57:29] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 19:00:07] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 19:00:12] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 19:00:16] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 19:00:32] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 19:02:12] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 19:02:25] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 19:03:48] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 19:04:54] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 19:05:28] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 19:05:28] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 19:07:37] PHP Warning:  session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at /www/htdocs/w0066545/game/login.php:26) in /www/htdocs/w0066545/game/head.php on line 2
[29-May-2008 19:09:55] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 19:09:58] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 19:10:00] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 19:13:35] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 19:13:35] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 19:27:52] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 19:28:08] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 19:28:08] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 19:34:16] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 19:34:21] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 19:34:21] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 19:35:24] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 19:39:16] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/createship.php on line 48
